#Table Version   5
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 GN93     | VALID RANGE:  110 110 110 110 110 110 110 110 110 110 110 110 110
#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.1000000E+03  0.1159217E+06  0.3289535E+06  0.8374724E+06  0.1751312E+07  0.3056702E+07  0.4484228E+07  0.7935907E+07  0.1415148E+08  0.2520387E+08  0.4433321E+08  0.7763065E+08  0.1375048E+09  0.2425493E+09
  0.2000000E+03  0.1387802E+06  0.3594859E+06  0.8629754E+06  0.1757174E+07  0.3135918E+07  0.5277409E+07  0.1444196E+08  0.3710234E+08  0.8238820E+08  0.1023230E+09  0.1000968E+09  0.2851146E+09  0.3066830E+09
  0.3000000E+03  0.1399199E+06  0.3411848E+06  0.7800376E+06  0.1519449E+07  0.2561725E+07  0.3835321E+07  0.1019374E+08  0.2458984E+08  0.6088518E+08  0.1549091E+09  0.2831876E+09  0.5101777E+09  0.9347149E+09
  0.4000000E+03  0.1243895E+06  0.2905714E+06  0.6365792E+06  0.1179981E+07  0.1846592E+07  0.2415547E+07  0.5981863E+07  0.1427184E+08  0.3209133E+08  0.7459629E+08  0.1619411E+09  0.3419982E+09  0.7134502E+09
  0.5000000E+03  0.1021979E+06  0.2322933E+06  0.4936865E+06  0.8815650E+06  0.1302548E+07  0.1519911E+07  0.3885275E+07  0.9718590E+07  0.2338605E+08  0.5581557E+08  0.1239304E+09  0.2532253E+09  0.4940505E+09
  0.6000000E+03  0.8131060E+05  0.1826366E+06  0.3839685E+06  0.6819873E+06  0.1020990E+07  0.1306459E+07  0.3211571E+07  0.7710917E+07  0.1859933E+08  0.4522247E+08  0.1054980E+09  0.2245707E+09  0.4389328E+09
  0.7000000E+03  0.6469192E+05  0.1448846E+06  0.3048948E+06  0.5465162E+06  0.8398336E+06  0.1140696E+07  0.2882458E+07  0.7019944E+07  0.1653751E+08  0.3901950E+08  0.9094098E+08  0.2020477E+09  0.4121563E+09
  0.8000000E+03  0.5212554E+05  0.1164458E+06  0.2455016E+06  0.4429152E+06  0.6884082E+06  0.9462166E+06  0.2499624E+07  0.6337567E+07  0.1553100E+08  0.3603048E+08  0.8250283E+08  0.1836800E+09  0.3880210E+09
  0.9000000E+03  0.4254997E+05  0.9437498E+05  0.1984818E+06  0.3578166E+06  0.5543734E+06  0.7497664E+06  0.2023216E+07  0.5368847E+07  0.1388645E+08  0.3348720E+08  0.7651851E+08  0.1704313E+09  0.3639072E+09
  0.1000000E+04  0.3511984E+05  0.7692579E+05  0.1607827E+06  0.2887150E+06  0.4452515E+06  0.5981256E+06  0.1632127E+07  0.4450380E+07  0.1200425E+08  0.3044515E+08  0.7127170E+08  0.1587295E+09  0.3410286E+09
  0.1100000E+04  0.2930575E+05  0.6312358E+05  0.1308071E+06  0.2337102E+06  0.3588553E+06  0.4796919E+06  0.1324074E+07  0.3677624E+07  0.1032599E+08  0.2751298E+08  0.6717503E+08  0.1514497E+09  0.3243210E+09
  0.1200000E+04  0.2477287E+05  0.5233370E+05  0.1073870E+06  0.1909025E+06  0.2921532E+06  0.3892476E+06  0.1093696E+07  0.3095937E+07  0.8921394E+07  0.2470665E+08  0.6289109E+08  0.1451507E+09  0.3125449E+09
  0.1300000E+04  0.2128837E+05  0.4404592E+05  0.8944950E+05  0.1583412E+06  0.2421179E+06  0.3232953E+06  0.9260231E+06  0.2655299E+07  0.7758711E+07  0.2206730E+08  0.5796252E+08  0.1374804E+09  0.3004984E+09
  0.1400000E+04  0.1867237E+05  0.3778465E+05  0.7588880E+05  0.1338492E+06  0.2049501E+06  0.2754240E+06  0.8013696E+06  0.2315850E+07  0.6797281E+07  0.1945059E+08  0.5241362E+08  0.1277021E+09  0.2842310E+09
  0.1500000E+04  0.1677227E+05  0.3309685E+05  0.6561192E+05  0.1152453E+06  0.1769206E+06  0.2403825E+06  0.7061666E+06  0.2041153E+07  0.5918723E+07  0.1688754E+08  0.4606285E+08  0.1157446E+09  0.2639443E+09
  0.1600000E+04  0.1544556E+05  0.2957021E+05  0.5763040E+05  0.1005144E+06  0.1542154E+06  0.2104381E+06  0.6218388E+06  0.1791864E+07  0.5103451E+07  0.1439685E+08  0.3978902E+08  0.1023824E+09  0.2390437E+09
  0.1700000E+04  0.1454692E+05  0.2686153E+05  0.5120876E+05  0.8833937E+05  0.1349509E+06  0.1841338E+06  0.5438730E+06  0.1560234E+07  0.4408398E+07  0.1231320E+08  0.3398849E+08  0.8905335E+08  0.2129821E+09
  0.1800000E+04  0.1391348E+05  0.2468466E+05  0.4583447E+05  0.7791717E+05  0.1181118E+06  0.1606652E+06  0.4760110E+06  0.1357023E+07  0.3797592E+07  0.1047861E+08  0.2872637E+08  0.7629092E+08  0.1852801E+09
  0.1900000E+04  0.1336985E+05  0.2280284E+05  0.4117056E+05  0.6879811E+05  0.1030956E+06  0.1387563E+06  0.4115237E+06  0.1176047E+07  0.3269687E+07  0.8921333E+07  0.2419867E+08  0.6457747E+08  0.1610016E+09
  0.2000000E+04  0.1276407E+05  0.2105096E+05  0.3705513E+05  0.6091689E+05  0.9023004E+05  0.1201432E+06  0.3507803E+06  0.9990355E+06  0.2760527E+07  0.7451066E+07  0.2006915E+08  0.5366707E+08  0.1381061E+09
  0.2100000E+04  0.1201383E+05  0.1935232E+05  0.3343752E+05  0.5431165E+05  0.7976019E+05  0.1053093E+06  0.2999133E+06  0.8505729E+06  0.2327407E+07  0.6214244E+07  0.1657176E+08  0.4463420E+08  0.1174100E+09
